Rank,Name,Site,Country,Power (kW),Total Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Computer,Year,Latitude,Longitude
57,Lassen,DOE/NNSA/LLNL,United States,,288288,18200.0,23047.2,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100",2018,40.42103,-74.52878
58,Guru,Korea Meteorological Administration,South Korea,3296.0,306432,18002.8,25495.14,"ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR",2021,37.493831,126.9170463
59,Maru,Korea Meteorological Administration,South Korea,3296.0,306432,18002.8,25495.14,"ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR",2021,37.493831,126.9170463
60,PANGEA III,Total Exploration Production,France,1367.0,291024,17860.0,25025.81,"IBM Power System AC922, IBM POWER9 18C 3.45GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Volta GV100",2019,46.0,2.0
61,AOBA-S,"Cyberscience Center, Tohoku University",Japan,1388.81,64512,17221.0,19818.09,"SX-Aurora TSUBASA C401-8, Vector Engine Type 30A 16C 1.6GHz, Infiniband NDR200",2023,35.68536,139.75309
62,HiPerGator AI,University of Florida,United States,582.63,138880,17200.0,21314.72,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",2021,29.6328837,-82.349013
63,SuperMUC-NG Phase 2,Leibniz Rechenzentrum,Germany,725.9,149760,17190.5,27957.42,"ThinkSystem SD650-I V3, Xeon Platinum 8480L 56C 2GHz, Intel Data Center GPU Max, Infiniband HDR",2023,48.2618918,11.666948
64,TOKI-SORA,Japan Aerospace eXploration Agency,Japan,,276480,16592.0,19464.2,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",2020,35.6792492,139.5583275
65,Pioneer-WUS2,Microsoft Azure,United States,,157440,16590.0,24557.23,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",2021,41.9231062,-87.9182633
66,Pioneer-WEU,Microsoft Azure,Netherlands,,157440,16590.0,24557.23,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",2021,52.25,5.75
67,Pioneer-EUS,Microsoft Azure,United States,,157440,16590.0,24557.23,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",2020,41.9231062,-87.9182633
68,Pioneer-SCUS,Microsoft Azure,United States,,157440,16590.0,24557.23,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",2021,41.9231062,-87.9182633
69,Galushkin,Yandex,Russia,,134912,16020.0,20636.1,"YANDEX Y4N-GA1-TY25-ZB0, AMD EPYC 7702 64C 2GHz, NVIDIA A100 80GB​, Infiniband",2021,55.7339688,37.5884817
70,kakaocloud,Kakao Enterprise,South Korea,,115072,15940.0,17815.13,"SP7-2608WG Cluster, Xeon Platinum 8358 32C 2.6GHz, NVIDIA A100 80GB, Infiniband HDR200",2024,36.5,127.75
71,preAlps,Swiss National Supercomputing Centre (CSCS),Switzerland,240.29,81600,15470.0,22109.28,"HPE Cray EX254n, NVIDIA Grace 72C 3.1GHz, NVIDIA GH200 Superchip, Slingshot-11",2024,46.0244656,8.9600452
72,Virga,Commonwealth Scientific and Industrial Research Organisation (CSIRO),Australia,,60000,14940.0,18460.8,"PowerEdge XE9640, Xeon Platinum 8452Y 36C 2GHz, Nvidia H100 94Gb SXM5, Infiniband NDR",2024,-31.9500909,115.7895708
73,Titan,SK Telecom,South Korea,,128960,14240.0,16394.77,"Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband",2023,35.1489394,126.9141026
74,Cori,DOE/SC/LBNL/NERSC,United States,3939.0,622336,14014.7,27880.653,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ",2016,34.088934,-88.505164
75,Nurion,Korea Institute of Science and Technology Information,South Korea,,570020,13929.3,25705.9,"Cray CS500, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",2018,36.3651843,127.3593597
76,Proxima,PCSS Poznan,Poland,,58224,13816.66,23316.0,"HPE Cray XD220v/HPE Cray XD665, EPYC 9334 32C 3Ghz/Xeon Platinum 8480+ 56C 2GHz, Infiniband NDR200",2024,52.4085143,16.9084535
77,,Japan Meteorological Agency,Japan,904.72,221184,13367.0,15571.35,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",2022,35.6898046,139.7613158
78,,Japan Meteorological Agency,Japan,904.72,221184,13367.0,15571.35,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",2022,35.6898046,139.7613158
79,Lyapunov,Yandex,Russia,,130944,12810.0,20029.19,"Inspur NF5488A5, AMD EPYC 7662 64C 2GHz, NVIDIA A100 40GB, Infiniband",2020,55.7339688,37.5884817
80,Lem,Wroclaw Centre for Networking and Supercomputing,Poland,,44992,12800.0,20368.0,"PowerEdge XE9640, Intel Xeon Platinum 8462Y+ 32C 2.8GHz, Nvidia H100 94Gb SXM5, Infiniband NDR200",2023,52.0,20.0
81,HPC4,Eni S.p.A.,Italy,1320.0,253600,12210.0,18621.138,"Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100",2018,40.8482029,14.299961
82,Tera-1000-2,Commissariat a l'Energie Atomique (CEA),France,3178.0,561408,11965.5,23396.352,"Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2",2017,45.1996822,5.7031246
83,Christofari Neo,SberCloud,Russia,,98208,11950.0,14908.61,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband",2021,60.0,100.0
84,Carpenter,ERDC DSRC,United States,1100.0,276480,11616.8,12474.78,"HPE Cray EX, AMD EPYC 9654 96C 2.4GHz, Slingshot-11",2023,37.28255,-90.63734
85,Kestrel CPU,National Renewable Energy Laboratory,United States,,212992,11372.2,14313.06,"HPE Cray EX, Xeon Platinum 8470Q 52C 2.1GHz, Slingshot-11",2023,39.7411693,-105.1835007
86,,Central Weather Administration,Taiwan,673.56,184320,11164.0,12976.13,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",2023,25.0375839,121.5143604
87,Stampede2,Texas Advanced Computing Center/Univ. of Texas,United States,,367024,10680.7,18309.222,"PowerEdge C6320P/C6420, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-Path",2017,31.79426,-94.174438
88,Opera Iceland KEF-1 SuperPOD,Opera KEF-1,Iceland,,36208,10530.0,17015.38,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 3.8GHz, NVIDIA H100 80GB, Infiniband NDR400",2024,63.985,-22.60556
89,MeluXina - Accelerator Module,LuxProvide,Luxembourg,390.25,99200,10520.0,15288.0,"BullSequana XH2000, AMD EPYC 7452 32C 2.35GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",2021,49.7870718,6.0897434
90,KT DGX SuperPOD,Korea Telecom,South Korea,,98208,10380.0,14416.0,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",2022,36.9950033,129.4025391
91,Derecho CPU partition,National Center for Atmospheric Research (NCAR),United States,,316416,10324.0,12403.51,"HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, Slingshot-11",2023,39.97789,-105.2748664
92,Levante,DKRZ - Deutsches Klimarechenzentrum,Germany,,352000,10111.0,13798.4,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100",2022,51.5,10.5
93,Cactus,GDIT/NOAA/WCOSS,United States,,327680,10013.0,11796.48,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",2021,35.574756,-86.192262
94,Dogwood,GDIT/NOAA/WCOSS,United States,,327680,10013.0,11796.48,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",2020,35.574756,-86.192262
95,Earth Simulator -SX-Aurora TSUBASA,Japan Agency for Marine-Earth Science and Technology,Japan,1390.95,43776,9990.7,13447.99,"SX-Aurora TSUBASA B401-8, Vector Engine Type20B 8C 1.6GHz, Infiniband HDR200",2021,35.68536,139.75309
96,Amazon EC2 Instance Cluster us-east-1a,Descartes Labs,United States,,172692,9950.26,15106.52,"Amazon EC2 r5.24xlarge, Xeon Platinum 8260 24C 2.4GHz, 25G Ethernet",2019,35.8816854,-106.2980683
97,NVIDIA Cambridge-1 DGX SuperPOD,NVIDIA Corporation,United States,,79360,9682.0,12047.0,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband HDR",2021,30.4801362,-97.7931805
98,SNL/NNSA CTS-2 Amber,Sandia National Laboratories,United States,,169344,9508.36,10838.02,"PowerEdge C6220, Xeon Platinum 8480+ 56C 2GHz, Cornelis Networks Omni-Path",2022,37.6736516,-121.7072096
99,,Research Institute,Japan,,72384,9459.0,9669.3,"Apollo 6500, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband",2022,36.0564466,140.1247547
100,DGX SuperPOD,NVIDIA Corporation,United States,,127488,9444.0,11209.114,"NVIDIA DGX-2H, Xeon Platinum 8174 24C 3.1GHz, NVIDIA Tesla V100, Mellanox InfiniBand EDR",2020,30.4801362,-97.7931805
101,,Deutscher Wetterdienst,Germany,1212.51,36864,9357.4,11199.2,"SX-Aurora TSUBASA C401-8, Vector Engine Type 30A 16C 1.6GHz, Infiniband NDR200",2023,47.6958548,9.131056
102,JURECA Data Centric Module,Forschungszentrum Juelich (FZJ),Germany,384.1,105840,9330.0,14508.0,"BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",2021,50.9054008,6.4118689
103,Gadi,National Computational Infrastructure (NCI Australia),Australia,,204032,9264.31,15142.1952,"PRIMERGY CX2570 M5, ThinkSystem SD650, Xeon Platinum 8274/8268, NVIDIA Tesla V100 SXM2, Mellanox HDR Infiniband",2020,-25.0,135.0
104,Goethe-NHR,Universitaet Frankfurt,Germany,195.24,96768,9087.0,19344.19,"Supermicro AS-4124GS-TNR, AMD EPYC 7452 32C 2.35GHz, AMD Instinct MI210 64 GB, Mellanox InfiniBand EDR",2023,50.0952039,8.6611054
105,Aitken,NASA/Ames Research Center/NAS,United States,2010.1,293936,9070.0,12493.06,"HPE Apollo 9000/HPE SGI 8600, AMD EPYC 7742 64C 2.25GHz/Intel Xeon Gold 6248 20C 2.5GHz, Mellanox EDR/HDR Infiniband",2022,34.775068,-96.666756
106,Taiwania 2,National Center for High Performance Computing,Taiwan,797.54,170352,9000.0,15208.23,"QCT QuantaGrid D52G-4U/LC, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",2018,24.7826067,120.9956004
107,SNL CTS-2 Stout,Sandia National Laboratories,United States,1491.14,157248,8987.13,10063.87,"PowerEdge C6220, Xeon Platinum 8480+ 56C 2GHz, Dual-rail Intel Omni-Path",2023,37.6736516,-121.7072096
108,Dragão,Petróleo Brasileiro S.A,Brazil,943.12,188224,8983.0,14006.48,"Supermicro SYS-4029GP-TVRT, Xeon Gold 6230R 26C 2.1GHz, NVIDIA Tesla V100, Infiniband EDR",2021,-10.0,-55.0
109,Raven-GPU,Max-Planck-Gesellschaft MPI/IPP,Germany,377.0,96768,8620.0,16031.54,"ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100, Mellanox HDR Infiniband",2021,51.5,10.5
110,AIRAWAT - PSAI,Center for Development of Advanced Computing (C-DAC),India,,81344,8500.0,13169.86,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",2023,22.0,79.0
111,Tuwaiq-1,Saudi Aramco,Saudi Arabia,,61568,8487.0,14173.44,"PowerEdge XE8640, Intel Xeon Platinum 8462Y+ 32C 2.8GHz, NVIDIA HGX H100, Infiniband HDR",2024,23.9494015,38.2920459
112,C24,Skoda Auto a.s.,Czechia,,196608,8401.78,8870.95,"HPE Cray EX, AMD EPYC 9654 96C 2.4GHz, Slingshot-11",2023,50.6117013,15.6235063
113,AiMOS,Rensselaer Polytechnic Institute Center for Computational Innovations (CCI),United States,512.08,130000,8339.0,11032.032,"IBM Power System AC922, IBM POWER9 20C 3.45GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",2019,44.594989,-75.333066
114,Dardel GPU,KTH - Royal Institute of Technology,Sweden,146.2,52864,8259.0,10207.23,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",2022,59.2016758,17.6203201
115,Taranis,Meteo France,France,1672.0,294912,8191.03,10321.92,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox InfiniBand HDR100",2020,48.8455927,2.4249063
116,LANTA,NSTDA Supercomputer Center (ThaiSC),Thailand,310.46,87296,8146.0,13773.06,"HPE Cray EX235n, AMD EPYC 7713 64C 2GHz, NVIDIA A100 40GB, Slingshot-11",2022,15.5,101.0
117,Roxy,Government,United States,,174720,8124.48,13977.6,"Apollo 2000, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR",2020,38.9531545,-92.3313718
118,HoreKa-Green,Karlsruher Institut für Technologie (KIT) ,Germany,358.79,90932,8025.6,15006.79,"ThinkSystem SD650 V2, Xeon Platinum 8368 38C 2.4GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband",2021,49.1018534,8.4331202
119,Narwhal,Navy DSRC,United States,,276480,8023.6,11501.57,"HPE Cray EX, AMD EPYC 7H12 64C 2.6GHz, Slingshot-10",2020,36.473051,-81.812586
120,42,Hessian.AI,Germany,352.8,64512,7938.0,8829.5,"Apollo 6500, AMD EPYC 7313 16C 3GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR",2023,51.5,10.5
121,Plasma Simulator,National Institute for Fusion Science (NIFS),Japan,1550.1,34560,7892.7,10510.66,"SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, Infiniband HDR 200",2020,35.68536,139.75309
